2025-06-01 22:00:04,818 - __main__ - INFO - Starting WebSocket server...
2025-06-01 22:00:04,822 - websockets.server - INFO - server listening on 0.0.0.0:8765
2025-06-01 22:00:04,822 - websockets.server - INFO - server listening on [::]:8765
2025-06-01 22:00:04,823 - agent_s3.communication.enhanced_websocket_server - INFO - EnhancedWebSocketServer running on localhost:8765 (listening on all interfaces)
2025-06-01 22:00:04,823 - __main__ - INFO - WebSocket server started successfully!
2025-06-01 22:00:04,823 - __main__ - INFO - Server running on ws://localhost:8765
2025-06-01 22:00:04,823 - __main__ - INFO - Auth token: test-token-123
2025-06-01 22:00:04,823 - __main__ - INFO - Server is running. Press Ctrl+C to stop.
2025-06-01 22:00:04,823 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:00:16,514 - websockets.server - INFO - connection open
2025-06-01 22:00:16,514 - agent_s3.communication.enhanced_websocket_server - INFO - New client connected: 9e057533-8391-4d2f-8c35-0d7d82e70b4c
2025-06-01 22:01:04,836 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:02:04,860 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:03:04,872 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:04:04,879 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:05:04,882 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:06:04,892 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:07:04,896 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:08:04,904 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:09:04,916 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:10:04,931 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:17:46,368 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:18:46,397 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:19:46,412 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:20:46,427 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:21:46,440 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
2025-06-01 22:22:46,450 - agent_s3.communication.enhanced_websocket_server - INFO - Server Metrics: Active Clients=0, Messages Processed=0
